state,avg_max_aqi,avg_x90th_percentile_aqi,avg_median_aqi,year,avg_max_aqi_2020,avg_x90th_percentile_aqi_2020,avg_median_aqi_2020
Florida,134.27777777777777,68.94444444444444,42.5,2005,NA,NA,NA
Georgia,141.02857142857144,84.62857142857143,52.34285714285714,2005,NA,NA,NA
Hawaii,97.75,40.25,17,2005,NA,NA,NA
Idaho,113.47826086956522,57.82608695652174,32.391304347826086,2005,NA,NA,NA
Illinois,145.6,82.52,40.72,2005,NA,NA,NA
Indiana,151.59459459459458,96.27027027027027,51.67567567567568,2005,NA,NA,NA
Iowa,122.2,68.45,40.95,2005,NA,NA,NA
Kansas,117.25,65.6875,37.0625,2005,NA,NA,NA
Kentucky,142.35294117647058,88.47058823529412,47.05882352941177,2005,NA,NA,NA
Louisiana,142.57142857142858,82.32142857142857,49.57142857142857,2005,NA,NA,NA
Maine,142.8181818181818,58.72727272727273,34.81818181818182,2005,NA,NA,NA
Maryland,174.46666666666667,98.73333333333333,48.733333333333334,2005,NA,NA,NA
Massachusetts,173,83.16666666666667,47.416666666666664,2005,NA,NA,NA
Michigan,157.2258064516129,89.51612903225806,44.61290322580645,2005,NA,NA,NA
Minnesota,135.9,68.6,43.55,2005,NA,NA,NA
Mississippi,128.94736842105263,80.26315789473684,52.8421052631579,2005,NA,NA,NA
Missouri,149.38095238095238,93.19047619047619,50.333333333333336,2005,NA,NA,NA
Montana,90.95,46.1,20.6,2005,NA,NA,NA
Nebraska,94.66666666666667,61.333333333333336,35.333333333333336,2005,NA,NA,NA
Nevada,102.55555555555556,58.666666666666664,35.44444444444444,2005,NA,NA,NA
New Hampshire,140.125,68.25,40.625,2005,NA,NA,NA
New Jersey,163.41176470588235,82.88235294117646,42.35294117647059,2005,NA,NA,NA
New Mexico,141.125,54.25,31.375,2005,NA,NA,NA
New York,156.14705882352942,73.02941176470588,38.705882352941174,2005,NA,NA,NA
North Carolina,139.20833333333334,87,51.604166666666664,2005,NA,NA,NA
North Dakota,73.77777777777777,43.22222222222222,29.444444444444443,2005,NA,NA,NA
Ohio,168.275,97.125,47.175,2005,NA,NA,NA
Oklahoma,133.375,78.29166666666667,43.916666666666664,2005,NA,NA,NA
Oregon,129.76190476190476,68.71428571428571,34.285714285714285,2005,NA,NA,NA
